"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 03","26.75","27.35","28.50","23.32","455.96M","-2.01%"
"Feb 03","27.30","28.45","28.50","25.55","374.10M","-3.87%"
"Jan 03","28.40","30.15","30.80","26.55","311.94M","-3.07%"
"Dec 02","29.30","30.05","30.50","28.70","225.11M","-2.33%"
"Nov 02","30.00","31.50","32.25","30.00","221.52M","-5.21%"
"Oct 02","31.65","32.10","33.40","29.95","339.91M","-1.71%"
"Sep 02","32.20","31.95","32.75","30.20","318.15M","0.00%"
"Aug 02","32.20","32.00","34.50","29.50","305.44M","1.10%"
"Jul 02","31.85","34.45","36.20","27.10","454.41M","-8.21%"
"Jun 02","34.70","38.05","38.20","33.20","344.12M","-8.80%"
"May 02","38.05","38.35","39.70","37.45","276.81M","-0.65%"
"Apr 02","38.30","37.40","38.30","37.30","369.55M","2.41%"
"Mar 02","37.40","37.50","37.70","35.95","291.87M","-0.66%"
"Feb 02","37.65","37.20","38.25","36.45","245.11M","1.48%"
"Jan 02","37.10","35.30","37.20","34.65","238.89M","4.80%"
"Dec 01","35.40","33.95","35.50","32.95","237.71M","4.27%"
"Nov 01","33.95","33.85","35.65","33.25","228.46M","0.15%"
"Oct 01","33.90","34.05","35.25","31.35","310.98M","-1.74%"
"Sep 01","34.50","35.10","35.45","28.90","410.25M","-1.99%"
"Aug 01","35.20","37.00","38.00","34.35","322.61M","-4.86%"
"Jul 01","37.00","38.05","38.65","35.70","225.01M","-3.14%"
"Jun 01","38.20","37.06","38.40","36.75","271.87M","2.85%"
"May 01","37.14","36.10","37.25","35.58","159.19M","3.40%"
"Apr 01","35.92","36.28","36.74","34.41","171.92M","-0.69%"
"Mar 01","36.17","36.70","36.75","32.85","243.62M","-1.31%"
"Feb 01","36.65","34.85","36.65","34.31","221.57M","5.17%"
"Jan 01","34.85","37.75","38.38","33.20","333.48M","-7.80%"
"Dec 00","37.80","37.80","38.93","35.45","220.11M","0.27%"
"Nov 00","37.70","37.20","38.48","36.11","193.28M","1.21%"
"Oct 00","37.25","37.20","38.20","34.90","250.82M","3.47%"
"Sep 00","36.00","37.55","38.00","36.00","209.18M","-4.10%"
"Aug 00","37.54","34.83","37.85","34.40","256.90M","7.97%"
"Jul 00","34.77","32.70","34.77","32.14","178.91M","6.49%"
"Jun 00","32.65","32.31","32.98","31.41","190.87M","1.40%"
"May 00","32.20","30.45","33.50","30.37","253.25M","5.92%"
"Apr 00","30.40","29.85","30.90","29.15","223.61M","2.01%"
"Mar 00","29.80","28.24","30.07","25.72","289.92M","5.94%"
"Feb 00","28.13","27.35","28.80","25.40","241.82M","3.95%"
"Jan 00","27.06","28.86","30.25","27.05","262.79M","-7.23%"
