Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691439
,SEC.M.A1.1000.F33000.N.4.EUR.E.Z,SEC.M.A1.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.EUR.E.Z,SEC.M.I8.1000.F33000.N.4.Z01.E.S,SEC.M.I8.1000.F33000.N.4.Z01.E.Z,SEC.M.I8.1000.F33000.N.4.Z06.E.Z,SEC.M.I8.1000.F33100.N.4.EUR.E.Z,SEC.M.I8.1000.F33100.N.4.Z01.E.Z,SEC.M.I8.1000.F33100.N.4.Z06.E.Z,SEC.M.I8.1000.F33200.N.4.EUR.E.Z,SEC.M.I8.1000.F33200.N.4.Z01.E.S,SEC.M.I8.1000.F33200.N.4.Z01.E.Z,SEC.M.I8.1000.F33200.N.4.Z06.E.Z,SEC.M.I8.1000.F33201.N.4.EUR.E.Z,SEC.M.I8.1000.F33201.N.4.Z01.E.Z,SEC.M.I8.1000.F33201.N.4.Z06.E.Z,SEC.M.I8.1000.F33202.N.4.EUR.E.Z,SEC.M.I8.1000.F33202.N.4.Z01.E.Z,SEC.M.I8.1000.F33202.N.4.Z06.E.Z,SEC.M.I8.1100.F33000.N.4.Z01.E.S,SEC.M.I8.1100.F33000.N.4.Z01.E.Z,SEC.M.I8.1100.F33100.N.4.Z01.E.Z,SEC.M.I8.1100.F33200.N.4.Z01.E.S,SEC.M.I8.1100.F33200.N.4.Z01.E.Z,SEC.M.I8.1100.F33201.N.4.Z01.E.Z,SEC.M.I8.1100.F33202.N.4.Z01.E.Z,SEC.M.I8.1235.F33000.N.4.Z01.E.S,SEC.M.I8.1235.F33000.N.4.Z01.E.Z,SEC.M.I8.1235.F33100.N.4.Z01.E.Z,SEC.M.I8.1235.F33200.N.4.Z01.E.S,SEC.M.I8.1235.F33200.N.4.Z01.E.Z,SEC.M.I8.1235.F33201.N.4.Z01.E.Z,SEC.M.I8.1235.F33202.N.4.Z01.E.Z,SEC.M.I8.12A0.F33000.N.4.Z01.E.S,SEC.M.I8.12A0.F33000.N.4.Z01.E.Z,SEC.M.I8.12A0.F33100.N.4.Z01.E.Z,SEC.M.I8.12A0.F33200.N.4.Z01.E.S,SEC.M.I8.12A0.F33200.N.4.Z01.E.Z,SEC.M.I8.12A0.F33201.N.4.Z01.E.Z,SEC.M.I8.12A0.F33202.N.4.Z01.E.Z,SEC.M.I8.1300.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33000.N.4.Z01.E.S,SEC.M.I8.130D.F33000.N.4.Z01.E.Z,SEC.M.I8.130D.F33100.N.4.Z01.E.Z,SEC.M.I8.130D.F33200.N.4.Z01.E.S,SEC.M.I8.130D.F33200.N.4.Z01.E.Z,SEC.M.I8.1311.F33000.N.4.Z01.E.S,SEC.M.I8.1311.F33000.N.4.Z01.E.Z,SEC.M.I8.1311.F33200.N.4.Z01.E.S,SEC.M.I8.1311.F33200.N.4.Z01.E.Z
2002Nov,55587.590,32983.262,55849.955,60668.000,60589.050,4739.095,24893.052,22650.390,-2242.662,30956.903,38154.000,37938.660,6981.757,25054.575,31102.253,6047.678,4191.634,5153.263,961.629,2183.000,962.219,-337.031,1204.000,1299.250,2209.519,-968.569,13510.000,14431.735,1428.880,12500.000,13002.855,3569.063,9399.793,30519.000,28480.663,20175.493,12738.000,8305.170,5870.272,2475.800,16714.433,565.000,1652.693,202.725,360.000,1449.968,13890.000,15061.740,11352.000,13881.417
2002Oct,19216.964,24787.889,32137.228,38705.000,41947.608,9810.380,8587.878,12007.656,3419.778,23549.349,35305.000,29939.951,6390.602,25510.952,35128.255,9617.303,-4306.623,-7784.313,-3477.690,-2689.000,242.286,1615.194,-2798.000,-1372.908,1079.751,-2457.675,6362.000,6387.218,-182.356,6649.000,6569.574,3107.778,3386.433,2267.000,10094.900,10028.157,60.000,66.743,5346.855,-6089.859,25223.203,4128.000,5253.428,393.077,3938.000,4860.351,28637.000,19969.775,27455.000,19816.191
2002Sep,67136.019,32135.579,32520.118,39302.000,31296.096,-1224.022,11034.786,14333.387,3298.601,21485.332,18433.000,16962.709,-4522.623,18197.394,21183.946,2986.552,1944.427,-5687.320,-7631.747,7464.000,4481.234,1158.010,4504.000,3323.224,4016.605,-469.399,9627.000,6774.106,-744.889,9475.000,7518.995,185.524,7281.945,5781.000,-2012.826,8226.097,-6079.000,-10238.923,4129.878,-14611.438,22053.582,1556.000,868.725,-701.524,2114.000,1570.249,14873.000,21184.858,8419.000,14789.164
2002Aug,13137.209,3099.902,15117.921,33284.000,12875.564,-2242.357,9476.521,6740.621,-2735.900,5641.400,26697.000,6134.943,493.543,2626.623,2034.947,-591.676,3028.634,3273.945,245.311,-2177.000,-2851.081,-110.451,-1769.000,-2740.630,-3763.880,908.400,6670.000,2464.896,744.403,6137.000,1720.493,1402.966,257.355,8122.000,-696.058,-529.395,6914.000,-166.663,-6960.022,5909.330,13957.807,1348.000,1048.175,-146.664,1300.000,1194.839,19321.000,12909.631,14116.000,6126.903
2002Jul,13913.088,13348.937,22047.664,34046.000,32391.789,10344.125,10636.403,13159.093,2522.690,11411.261,23371.000,19232.696,7821.435,1013.131,7001.986,5988.855,13149.718,14114.578,964.860,5831.000,7678.711,4802.641,1690.000,2876.070,4030.797,-1224.428,8312.000,10055.127,964.278,8076.000,9090.849,1092.924,7961.826,1797.000,9489.534,8571.500,-3961.000,918.034,-4407.201,3555.516,5168.417,9316.000,9360.169,327.465,9298.000,9032.704,8790.000,-4191.752,8268.000,-2684.961
2002Jun,61688.844,50629.318,29864.380,35921.000,29551.240,-313.140,-1811.708,-4830.387,-3018.679,31676.087,25532.000,34381.626,2705.539,15925.810,19480.035,3554.225,10864.546,10173.711,-690.835,-3577.000,-4422.689,-8551.421,2190.000,4128.732,6013.977,-1513.094,-709.000,1194.074,-246.095,-1022.000,1440.169,-4465.908,5863.844,21831.000,10594.696,-4446.739,16588.000,15041.435,4692.779,9708.860,22185.159,3230.000,2331.024,-699.210,3697.000,3030.234,15146.000,19854.134,4080.000,10741.056
2002May,91337.482,71731.681,73226.344,54116.000,86437.111,13210.767,19376.505,22056.622,2680.117,53849.839,36610.000,64380.489,10530.650,36348.934,45120.665,8771.731,11757.224,13332.924,1575.700,-537.000,3938.556,-3000.711,4228.000,6939.267,4835.585,998.882,15733.000,16583.874,-157.042,15766.000,16740.916,15208.167,1105.749,22801.000,29508.701,8025.171,13457.000,21483.531,9421.577,11389.996,36405.980,6180.000,6260.633,352.154,5831.000,5908.479,9939.000,30145.347,-2672.000,13308.297
2002Apr,32429.878,57551.697,34796.471,38010.000,44960.456,10163.985,-6769.404,-2265.666,4503.738,41565.876,44878.000,47226.123,5660.247,33680.276,38638.268,4957.992,3820.271,4383.348,563.077,479.000,536.755,-4713.515,5682.000,5250.270,5170.608,38.351,11437.000,12942.830,577.783,11109.000,12365.047,9168.081,3169.967,9125.000,12318.401,764.361,10076.000,11554.040,6118.075,5049.896,19162.470,2856.000,3005.628,1038.659,1958.000,1966.969,14114.000,16156.842,16052.000,16089.797
2002Mar,99127.006,65461.696,67598.590,57529.000,77832.552,10233.962,17244.853,17716.866,472.013,50353.737,49908.000,60115.686,9761.949,34339.069,42654.919,8315.850,18238.097,19928.337,1690.240,-3122.000,-1376.539,-1428.590,-516.000,52.051,263.275,139.851,7402.000,4653.063,723.264,6921.000,3929.799,-959.502,4966.259,28642.000,36047.192,6313.357,23443.000,29733.836,18414.192,11152.721,38508.836,2913.000,2819.639,-491.041,3100.000,3310.680,21693.000,35689.197,16960.000,23089.321
2002Feb,41996.212,39992.283,33034.848,5872.000,32701.862,-332.986,353.560,-1233.869,-1587.429,32681.288,12045.000,33935.731,1254.443,19051.567,22394.906,3343.339,9321.851,7324.174,-1997.677,-209.000,323.957,-1236.649,2378.000,1560.606,2606.523,-1161.718,2337.000,4248.800,65.692,2643.000,4183.108,2272.957,1888.801,1293.000,14477.092,-7823.464,9731.000,22300.556,12682.260,9367.315,13652.013,-237.000,-327.393,-11.629,-131.000,-315.764,2688.000,13979.406,-2577.000,6207.225
2002Jan,94756.095,66719.914,92719.997,70505.000,103715.010,10995.013,40938.324,41296.671,358.347,51781.674,60322.000,62418.340,10636.666,30574.533,37033.227,6458.694,14270.400,16499.621,2229.221,4533.000,10013.084,6525.139,6180.000,3487.945,3039.615,548.613,9556.000,3307.896,567.509,8987.000,2740.387,5381.642,-2640.255,28578.000,44420.660,24336.939,17148.000,20083.721,2579.380,14433.591,45973.370,2517.000,2242.950,-556.358,2932.000,2799.308,25321.000,43730.420,25075.000,33306.979
2001Dec,-675.147,38468.399,-11194.419,78376.000,-6322.423,4871.996,-46060.820,-44432.374,1628.446,34866.401,79478.000,38109.951,3243.550,5456.987,10046.379,4589.392,29199.868,28222.912,-976.956,4436.000,-7140.985,-9791.837,4510.000,2650.853,5279.613,-2525.989,25320.000,32604.256,-1178.703,26254.000,33782.959,2320.617,31422.442,29534.000,-3145.150,-8975.709,25394.000,5830.560,-4766.312,10647.684,-28640.545,1594.000,1706.120,550.987,1326.000,1155.133,17491.000,-30346.664,21994.000,-5309.553
2001Nov,46688.819,50845.423,21229.747,36757.000,32973.424,11743.677,-7425.504,-3643.893,3781.611,28655.252,39273.000,36617.318,7962.066,21593.948,27485.251,5891.303,12520.452,14013.185,1492.733,14581.000,13155.806,-3824.863,16641.000,16980.669,14150.006,2788.944,8065.000,8281.798,-813.721,9039.000,9095.519,7041.982,2023.537,3334.000,1981.717,-6156.394,11950.000,8138.111,636.259,6466.182,9554.104,1441.000,2056.856,225.129,1207.000,1831.727,9336.000,7497.248,436.000,571.292
2001Oct,47116.856,49012.888,42172.553,38798.000,40640.509,-1532.044,9208.716,3617.452,-5591.264,32963.838,43202.000,37023.058,4059.220,30523.111,34192.602,3669.491,2189.473,2597.642,408.169,-2190.000,407.328,3767.731,-4232.000,-3360.403,2044.666,-5450.524,8839.000,8325.252,40.833,8830.000,8284.419,-811.470,8989.889,16508.000,22922.170,3860.987,19780.000,19061.183,11993.608,4210.035,8985.759,3833.000,4757.650,-322.630,4356.000,5080.280,11807.000,4228.109,14468.000,7957.579
2001Sep,24807.223,18532.391,15141.078,18166.000,11530.888,-3610.190,-3765.195,-4075.262,-310.067,18906.274,15492.000,15606.151,-3300.123,6182.605,7635.773,1453.168,6855.786,2096.764,-4759.022,-5320.000,-8276.839,-209.981,-7100.000,-8066.858,-1074.862,-6668.057,3797.000,2038.813,-285.527,3758.000,2324.340,1737.336,577.003,13431.000,6919.099,-4924.318,15196.000,11843.417,7033.609,3017.432,10849.816,4656.000,4127.239,14.862,4445.000,4112.377,1603.000,6722.577,-808.000,5392.876
2001Aug,22647.318,21769.330,20589.935,40629.000,25417.912,4827.977,5655.580,5691.095,35.515,14934.355,35863.000,19726.817,4792.462,14790.906,16181.533,1390.627,3910.003,7624.689,3714.686,14120.000,13659.002,5464.343,8848.000,8194.659,5954.305,2198.133,6031.000,3036.721,-46.721,6129.000,3083.442,2184.739,883.703,8787.000,1699.148,-3829.112,10672.000,5528.261,-3054.234,7922.169,7023.041,2858.000,2640.977,-22.909,2720.000,2663.886,8833.000,4382.064,7494.000,256.570
2001Jul,37448.231,51062.791,47697.877,54389.000,57352.651,9654.774,5624.794,8313.412,2688.618,42073.083,49433.000,49039.239,6966.156,21872.478,24035.014,2162.536,21912.866,26876.616,4963.750,8578.000,11543.035,3920.414,6212.000,7622.621,4684.838,2632.854,16687.000,18002.231,690.373,16291.000,17311.858,10114.903,7186.225,13399.000,22118.657,-2398.262,19158.000,24516.918,7431.925,16927.058,5688.729,3609.000,3757.473,1628.519,2205.000,2128.954,12116.000,1931.256,5567.000,-2541.112
2001Jun,92853.755,85245.964,52395.816,64195.000,54624.617,2228.801,-7535.478,-9244.095,-1708.617,59931.294,58154.000,63868.712,3937.418,27330.088,30573.535,3243.447,27908.513,28934.447,1025.934,8529.000,6756.152,-1964.486,7110.000,8720.638,6708.807,2009.847,10374.000,11310.946,-339.172,10406.000,11650.118,7162.547,4468.571,33712.000,22013.985,1081.531,22923.000,20932.454,-5170.768,24798.126,14543.533,424.000,-303.735,-303.014,603.000,-0.721,11156.000,14847.268,17112.000,22566.222
2001May,64244.250,68174.593,49233.248,21759.000,50336.661,1103.414,-2227.228,-2614.570,-387.342,51460.476,29649.000,52951.232,1490.756,36049.224,35724.382,-324.841,17374.367,19191.071,1816.704,15020.000,19448.653,7473.567,9740.000,11975.086,11238.212,451.132,8540.000,10276.616,512.445,8014.000,9764.171,3408.787,5302.563,-6961.000,-1154.937,-9270.298,1823.000,8115.361,-3036.409,11542.711,21766.330,972.000,1026.608,301.165,676.000,725.443,4188.000,20739.722,9397.000,22371.171
2001Apr,36370.036,46500.476,45345.308,44848.000,50266.290,4920.982,11793.197,9495.352,-2297.845,33552.112,37993.000,40770.939,7218.827,24804.942,30522.239,5717.297,5023.373,6611.443,1588.070,2348.000,2039.236,-1591.520,4004.000,3630.756,3150.853,550.994,5289.000,6109.118,444.576,4943.000,5664.542,4536.495,1071.047,12019.000,14025.974,2386.250,10058.000,11639.724,2720.796,8890.884,28091.962,2029.000,2159.701,1.677,2116.000,2158.024,23163.000,25932.261,16871.000,17677.893
2001Mar,105065.788,70553.315,55865.382,50909.000,68072.614,12207.232,14552.069,16355.832,1803.763,41313.313,44326.000,51716.782,10403.469,36204.755,44688.014,8483.259,8033.175,10297.025,2263.850,21419.000,22864.441,125.199,22323.000,22739.241,22139.682,1205.856,8323.000,6294.489,263.560,8155.000,6030.929,5099.984,920.946,7357.000,13300.771,3963.274,5010.000,9337.497,1397.116,7360.281,25612.914,1780.000,1607.124,-57.145,1631.000,1664.269,12030.000,24005.790,7207.000,11944.846
2001Feb,82782.983,72065.900,60050.962,47549.000,72267.856,12216.894,11226.519,15255.388,4028.869,48824.443,35990.000,57012.468,8188.025,35489.587,40165.397,4675.810,15459.746,18880.409,3420.663,8648.000,9392.871,3637.884,6605.000,5754.987,4732.627,1055.267,6571.000,8057.331,444.478,6312.000,7612.853,5607.796,1895.057,29313.000,40485.836,7114.917,22285.000,33370.918,17753.067,15234.452,14331.818,1031.000,882.458,-648.352,1733.000,1530.810,1986.000,13449.360,-945.000,8742.900
2001Jan,35976.169,20088.672,44122.296,14188.000,46696.641,2574.345,32321.878,31488.444,-833.434,11800.417,10932.000,15208.196,3407.779,38866.119,41926.638,3060.519,-27495.193,-25730.393,1764.800,176.000,5504.103,3606.952,4029.000,1897.151,1903.155,-5.252,4830.000,575.432,614.859,4221.000,-39.427,-39.264,-10.163,18638.000,36262.800,9630.030,22733.000,26632.770,15662.680,10345.240,4354.305,1385.000,1220.437,459.075,845.000,761.362,-10842.000,3133.868,-20897.000,-14043.660
2000Dec,-12845.015,8395.775,-37792.787,44362.000,-32231.248,5561.539,-35350.495,-34825.031,525.464,-2442.292,41110.000,2593.783,5036.075,-17394.341,-13044.036,4350.304,19859.864,20414.216,554.352,10106.000,-269.844,-1225.947,2543.000,956.103,2371.330,-1391.745,7273.000,12108.724,-422.567,7364.000,12531.291,-1302.702,13827.965,26362.000,-5752.693,-7501.757,19930.000,1749.063,-12428.212,13619.535,-38317.435,732.000,965.379,-49.162,1011.000,1014.541,-111.000,-39282.814,10262.000,-13657.215
2000Nov,39084.587,37696.026,20395.019,38561.000,32193.444,11798.425,-6731.317,-550.894,6180.423,27126.337,36982.000,32744.339,5618.002,16597.890,17995.109,1397.219,9019.534,13088.627,4069.093,12308.000,11290.566,1556.032,9336.000,9734.534,6212.401,3557.232,2265.000,2066.418,-497.453,2942.000,2563.871,717.381,1847.491,4706.000,3591.035,-388.562,7178.000,3979.597,-4305.130,6772.022,15245.426,1529.000,1970.055,266.059,1261.000,1703.996,17752.000,13275.371,16266.000,14762.341
2000Oct,40003.483,42939.555,34422.887,48281.000,49984.772,15561.885,7847.535,12447.660,4600.125,26575.353,43215.000,37537.113,10961.760,17901.781,25755.648,7853.867,8068.068,10847.517,2779.449,14256.000,15982.502,5085.115,10372.000,10897.387,9450.879,858.389,9877.000,9179.899,922.237,8981.000,8257.662,6371.460,1876.898,14222.000,20643.100,8297.978,13039.000,12345.122,-297.188,9359.107,4179.271,1117.000,1925.344,-83.712,1318.000,2009.056,8810.000,2253.927,9506.000,4027.885
2000Sep,55276.651,40816.846,20645.956,34748.000,29273.400,8627.443,-5559.365,-4988.380,570.985,26205.322,33467.000,34261.780,8056.458,21867.856,27233.709,5365.853,5450.921,8259.367,2808.446,3613.000,1802.270,1626.717,805.000,175.553,-1031.676,1209.512,8893.000,7492.609,-227.530,8843.000,7720.139,7238.990,480.149,14313.000,8481.583,-6040.653,17800.000,14522.236,3912.402,8369.849,11496.938,1071.000,698.312,487.824,427.000,210.488,6859.000,10798.626,5592.000,11633.364
2000Aug,39196.512,38561.212,35998.195,58308.000,47548.542,11550.347,2716.211,397.849,-2318.362,33281.984,60153.000,47150.693,13868.709,20586.363,25505.309,4918.946,10613.663,20052.117,9438.454,14583.000,14068.395,2103.364,12372.000,11965.031,1826.666,10131.296,8406.000,6300.160,52.096,8348.000,6248.064,4352.730,1895.334,17654.000,13025.396,-2861.432,18917.000,15886.829,5300.918,11008.212,14154.591,917.000,738.606,-637.935,1419.000,1376.541,16748.000,13415.985,19096.000,11674.228
2000Jul,35452.897,45692.381,39739.577,51904.000,56908.122,17168.546,2667.549,3440.991,773.442,37072.028,51631.000,53467.131,16395.104,27562.807,41665.769,14102.963,17762.981,18453.792,690.811,7166.000,10103.142,1796.740,7003.000,8306.402,6656.354,1815.568,22815.000,24091.833,594.985,22517.000,23496.848,19747.722,3729.126,20300.000,28267.468,6833.703,16420.000,21433.765,7270.545,12226.310,-5554.321,1581.000,1773.179,707.692,1087.000,1065.487,41.000,-7327.500,4605.000,-835.371
2000Jun,58370.940,49157.989,32746.827,52826.000,42170.295,9423.469,-3391.935,2696.810,6088.745,36138.762,36143.000,39473.486,3334.724,22645.618,22269.749,-375.869,10593.654,14097.583,3503.929,9434.000,8056.668,1056.108,5906.000,7000.560,3789.062,3150.695,6915.000,7004.931,496.575,6188.000,6508.356,4486.592,2023.763,20663.000,9253.043,392.177,10878.000,8860.866,-2771.402,10590.393,17855.653,306.000,-468.927,64.090,135.000,-533.017,15508.000,18324.581,13036.000,17636.720
2000May,58896.241,40015.620,53020.280,32775.000,58001.399,4981.119,15521.120,17386.351,1865.231,37499.159,21528.000,40615.048,3115.888,23715.795,25638.458,1922.663,16696.445,17749.000,1052.555,122.000,3163.973,3918.212,-2324.000,-754.239,148.827,824.539,3148.000,5394.277,-196.330,3362.000,5590.607,3963.420,1627.188,31431.000,37433.407,13241.309,19276.000,24192.098,10598.782,13324.836,12009.742,925.000,994.511,-547.750,1489.000,1542.261,-2852.000,11015.231,-275.000,10044.321
2000Apr,36666.546,47915.102,37865.022,36126.000,39795.431,1930.409,-105.875,312.158,418.033,37970.897,37251.000,39483.273,1512.376,27864.002,27269.781,-594.221,10879.047,12877.464,1998.417,11964.000,11547.947,5573.390,6266.000,5974.557,624.799,5415.957,2684.000,3098.026,-450.930,3180.000,3548.956,1922.550,628.406,18362.000,18752.298,-3917.347,21322.000,22669.645,13240.244,8750.240,6397.161,1089.000,1185.354,251.562,901.000,933.792,2028.000,5211.807,5581.000,6356.324
2000Mar,91672.976,59578.405,57134.778,48521.000,61983.035,4848.257,17973.730,21170.322,3196.592,39161.048,35869.000,40812.713,1651.665,32502.745,32655.372,152.627,6294.490,7288.208,993.718,3453.000,4564.945,550.051,3444.000,4014.894,2610.932,-304.338,5071.000,3747.790,1.196,5150.000,3746.594,2342.864,1312.419,27272.000,31817.962,12262.424,17061.000,19555.539,12758.118,5712.331,21852.338,768.000,461.446,-493.899,1026.000,955.345,11958.000,21390.892,9187.000,12540.342
2000Feb,76769.396,66736.239,60136.226,45854.000,68364.935,8228.709,8590.763,11909.620,3318.857,51545.462,36679.000,56455.314,4909.852,38068.587,42408.476,4339.889,7823.274,8587.606,764.332,-1151.000,-481.443,66.716,202.000,-548.159,-80.624,-424.957,2330.000,3568.369,287.105,2234.000,3281.264,1764.098,1679.346,26727.000,36062.230,13341.941,13350.000,22720.289,13255.187,8924.211,29215.778,403.000,280.231,-281.672,776.000,561.903,17546.000,28935.547,20117.000,30440.017
2000Jan,41.396,30792.474,7580.080,-18856.000,11122.837,3542.757,-18495.746,-16279.719,2216.027,26075.827,21994.000,27402.557,1326.730,25147.083,26098.595,951.512,3381.398,3498.536,117.138,-6178.000,-2123.147,-217.063,-160.000,-1906.084,-1758.417,-158.900,2091.000,-810.674,346.956,1725.000,-1157.630,-1302.435,144.794,-23275.000,-5243.567,-19558.661,9307.000,14315.095,9096.678,4552.684,19300.226,-1296.000,-1547.094,-1322.812,-160.000,-224.282,9802.000,20847.320,11281.000,16375.458
1999Dec,-20135.193,-26476.417,-27347.579,36830.000,-29394.582,-2047.003,1402.682,4265.475,2862.793,-28750.261,1.000,-33660.057,-4909.796,-25151.034,-29221.289,-4070.255,807.228,-412.238,-1219.466,6042.000,-2188.777,-374.633,-537.000,-1814.144,-1959.104,150.969,-2648.000,316.770,-431.188,-2506.000,747.958,-1078.218,1826.177,27296.000,-2771.826,14338.015,-594.000,-17109.841,-23505.277,3650.423,-24750.749,665.000,1148.011,1241.234,-227.000,-93.223,5475.000,-25898.760,3865.000,-15390.808
1999Nov,64780.807,43964.063,45104.059,53309.000,45867.368,763.309,18191.065,18071.030,-120.035,26912.994,32278.000,27796.338,883.344,18111.885,19372.430,1260.545,6323.703,6084.502,-239.201,2316.000,1504.677,1244.802,-12.000,259.875,473.119,-213.044,10581.000,10193.887,359.449,10364.000,9834.438,4412.972,5402.967,35870.000,35620.994,25650.977,12306.000,9970.017,414.624,8520.288,-1452.190,693.000,1116.892,551.149,144.000,565.743,3848.000,-2569.082,9476.000,7166.264
1999Oct,59061.166,51920.376,53074.494,53417.000,53886.310,811.816,10057.054,9365.792,-691.262,43017.439,49276.000,44520.517,1503.078,38514.255,39573.036,1058.781,8741.663,8980.720,239.057,6634.000,7955.580,1578.703,5959.000,6376.877,5198.127,1279.846,3688.000,3083.540,-555.813,4292.000,3639.353,3544.753,94.601,26832.000,31792.578,11435.418,21008.000,20357.161,12289.491,7526.596,11054.612,-1411.000,-664.557,482.654,-1856.000,-1147.211,17674.000,11719.168,19872.000,15294.338
1999Sep,89223.569,74496.314,61856.856,75426.000,69132.432,7275.576,958.611,3970.427,3011.816,60898.245,65336.000,65162.005,4263.760,51251.899,53542.524,2290.625,10091.311,11895.447,1804.136,3864.000,2644.642,1238.189,1898.000,1406.453,1504.755,-89.812,11278.000,10154.088,1014.253,10059.000,9139.835,7495.880,1643.956,49342.000,44124.172,12673.928,34531.000,31450.244,20968.962,9668.841,12209.529,791.000,446.869,-415.218,1090.000,862.087,10151.000,11762.660,17758.000,22303.385
1999Aug,45147.994,26627.502,35690.559,43570.000,37937.982,2247.423,16095.212,17053.294,958.082,19595.347,30434.000,20884.688,1289.341,18743.694,19846.061,1102.367,-1758.220,-1584.246,173.974,3846.000,3267.526,1560.087,2094.000,1707.439,1236.383,454.255,3233.000,1807.876,254.856,2920.000,1553.020,885.090,657.905,21342.000,19249.386,13552.211,6838.000,5697.175,3718.173,1474.091,13613.194,-213.000,-375.185,-252.107,-106.000,-123.078,15362.000,13988.379,18688.000,12050.132
1999Jul,66333.385,72054.004,45371.390,36411.000,41508.848,-3862.542,-3020.270,-2910.471,109.799,48391.661,41416.000,44419.320,-3972.341,40447.317,37957.163,-2490.154,8585.374,6963.797,-1621.577,7015.000,9790.044,2384.693,6145.000,7405.351,6221.226,1161.113,3715.000,4894.116,-133.132,4104.000,5027.248,1666.413,2877.835,7609.000,13378.464,5778.197,3645.000,7600.268,1080.853,5885.114,13446.223,240.000,481.897,160.255,308.000,321.642,17832.000,12964.326,27215.000,24064.811
1999Jun,56984.801,63494.868,38643.114,51517.000,42821.503,4178.389,-14827.891,-14008.115,819.776,53471.005,55055.000,56829.618,3358.613,50480.227,52378.563,1898.336,4595.456,6034.727,1439.271,5602.000,4517.883,-865.610,4610.000,5383.493,5339.979,32.574,21314.000,20937.545,-35.621,21127.000,20973.166,20373.059,601.107,18543.000,10296.950,-4995.361,16954.000,15292.311,7691.117,6713.643,7069.125,850.000,-10.703,66.312,685.000,-77.015,5208.000,7079.828,11678.000,15257.662
1999May,69862.142,73075.092,50545.075,35092.000,55786.957,5241.882,-2572.715,-926.889,1645.826,53117.790,42201.000,56713.846,3596.056,44516.001,47989.752,3473.751,8606.239,8788.274,182.035,-4520.000,-2308.829,-1292.981,-2300.000,-1015.848,263.830,-1282.479,6603.000,8744.252,-372.898,7009.000,9117.150,8522.836,590.315,19794.000,24810.452,-1013.057,22014.000,25823.509,14116.908,11333.232,24541.081,298.000,403.934,43.039,281.000,360.895,12917.000,24137.147,15196.000,22428.140
1999Apr,42682.013,32792.805,41963.544,44143.000,47406.580,5443.036,14739.715,15287.704,547.989,27223.829,30053.000,32118.876,4895.047,17959.295,22003.325,4044.030,6024.972,6270.260,245.288,8810.000,8480.513,3124.720,5555.000,5355.793,5123.659,-81.665,5361.000,5655.588,219.491,5187.000,5436.097,5255.020,224.077,30985.000,30490.012,9792.117,19682.000,20697.895,13401.534,6747.940,2780.467,902.000,925.970,-188.951,1144.000,1114.921,-1915.000,1854.497,-1514.000,-485.831
1999Mar,78666.549,65899.907,44153.478,35320.000,44399.613,246.135,285.560,1425.836,1140.276,43867.918,41257.000,42973.777,-894.141,48507.473,48553.132,45.659,-1113.490,-2063.630,-950.140,7412.000,8383.582,3484.602,4370.000,4898.980,4523.923,324.711,3270.000,2498.137,-141.231,3512.000,2639.368,1410.473,1228.895,14668.000,17113.768,-82.419,16520.000,17196.187,13851.211,1737.521,16404.126,1379.000,981.894,-308.338,1440.000,1290.232,8590.000,15422.232,15415.000,16949.010
1999Feb,63836.015,64472.970,47753.357,35857.000,56513.623,8760.266,-2366.050,-1365.817,1000.233,50119.407,39978.000,57879.440,7760.033,43616.998,47643.229,4026.231,1943.144,5774.959,3831.815,4429.000,4975.961,2743.414,2843.000,2232.547,2777.768,-526.656,4581.000,5528.023,373.991,4401.000,5154.032,5150.167,-0.135,18248.000,26321.268,5273.625,13357.000,21047.643,10090.506,10556.997,19688.370,-588.000,-705.176,299.691,-771.000,-1004.867,9187.000,20393.547,20148.000,30450.085
1999Jan,78539.519,64611.617,76151.571,62015.000,85410.146,9258.575,13406.881,14458.915,1052.034,62744.690,64184.000,70951.231,8206.541,64532.514,73123.026,8590.512,-3789.086,-4180.018,-390.932,1071.000,3570.850,5239.872,-171.000,-1669.022,-1150.162,-524.477,13304.000,11510.462,453.717,12774.000,11056.745,10866.919,188.826,19431.000,33768.500,7430.824,20237.000,26337.676,23846.552,2328.643,36560.335,-204.000,-427.607,-216.176,-126.000,-211.431,28414.000,36987.942,31470.000,35437.263
1998Dec,-28956.497,-6977.452,-33223.713,13174.000,-38956.483,-5732.771,-23194.031,-25491.352,-2297.321,-10029.682,14435.000,-13465.132,-3435.450,589.988,-2035.334,-2625.322,,,,-910.000,-7082.663,-7080.738,1064.000,-1.925,-24.924,,2087.000,3243.648,312.980,1221.000,2930.668,1603.448,,6546.000,-16955.099,-8494.881,6370.000,-8460.218,-4105.248,,-18162.370,563.000,1099.476,833.102,0.000,266.374,4888.000,-19261.845,5779.000,-8200.031
1998Nov,,,16118.410,24222.000,15578.817,-539.593,3524.563,2445.959,-1078.604,12593.847,16697.000,13132.858,539.011,,,,,,,2500.000,1804.210,2206.160,-618.000,-401.950,,,766.000,582.000,406.350,580.000,175.650,,,17241.000,17015.984,11177.568,7408.000,5838.415,,,-3823.377,-407.000,140.264,-81.900,-296.000,222.164,4122.000,-3963.641,9622.000,7298.578
